VehicleDesc,VehicleType,VehicleModel,ModelYear,color,DateStolen,Location
LX,Moped,Vespa,2011,Silver,2022-04-02,Auckland City
UZ,Moped,Suzuki,2014,Black,2021-12-11,Auckland City
UZ,Moped,Suzuki,2013,Silver,2022-04-01,Canterbury
UZ,Moped,Suzuki,2014,Yellow,2021-11-06,Wellington
APE,Moped,Honda,2002,White,2022-01-17,Auckland City
DJ1,Moped,Honda,1988,White,2022-01-13,Auckland City
ET2,Moped,Vespa,2004,Black,2021-12-19,Auckland City
F50,Moped,Forza,2021,Black,2022-02-15,Waitemata
JOG,Moped,Yamaha,2009,Black,2022-01-12,Central
JOG,Moped,Yamaha,1999,Black,2022-03-28,Central
NIU,Moped,Factory Built,2017,White,2022-03-06,Auckland City
NVS,Moped,Honda,2013,Red,2022-01-28,Canterbury
NVS,Moped,Honda,2002,Blue,2022-01-23,Wellington
PAL,Moped,Honda,2020,Black,2021-11-10,Auckland City
PMX,Moped,PGO,2013,Black,2022-01-04,Northland
V50,Moped,Lambretta,2020,Black,2022-01-28,Wellington
ZIP,Moped,Piaggio,2014,Black,2022-02-02,Auckland City
ZIP,Moped,Piaggio,2013,Black,2022-03-27,Wellington
ZIP,Moped,Piaggio,2012,White,2022-02-06,Auckland City
ZIP,Moped,Piaggio,2016,Red,2022-04-03,Auckland City
ZIP,Moped,Piaggio,2013,Black,2022-01-20,Wellington
ZIP,Moped,Piaggio,2017,White,2021-12-23,Auckland City
ZIP,Moped,Piaggio,2017,Black,2022-01-21,Auckland City
ZIP,Moped,Piaggio,2013,Red,2021-12-07,Waitemata
ZIP,Moped,Piaggio,2018,White,2021-12-18,Tasman
AZ50,Moped,Suzuki,2007,Black,2021-12-16,Counties_Manukau
CROX,Moped,SYM,2021,Black,2021-11-15,Canterbury
CV50,Moped,Yamaha,2011,Blue,2022-01-11,Wellington
DD50,Moped,Moped,2005,Black,2021-12-15,Bay of Plenty
DD50,Moped,SYM,2011,Red,2022-04-03,Central
DJ-1,Moped,Honda,1989,Black,2022-01-04,Bay of Plenty
JET4,Moped,SYM,2021,Red,2022-01-08,Canterbury
LETS,Moped,Suzuki,2007,Grey,2022-02-06,Wellington
LETS,Moped,Suzuki,2007,Black,2022-02-25,Wellington
LIKE,Moped,Kymco,2016,Red,2022-01-05,Auckland City
OTTO,Moped,TNT Motor,2020,Black,2022-03-13,Canterbury
OTTO,Moped,TNT Motor,2020,Black,2022-01-09,Auckland City
OTTO,Moped,TNT Motor,2019,Black,2022-03-24,Auckland City
OTTO,Moped,TNT Motor,2018,Black,2021-12-06,Southern
OTTO,Moped,TNT Motor,2015,Black,2022-03-14,Auckland City
OTTO,Moped,TNT Motor,2019,Black,2022-03-28,Auckland City
OTTO,Moped,TNT Motor,2020,Black,2022-03-25,Auckland City
ROMA,Moped,TNT Motor,2021,Black,2022-02-14,Wellington
ROMA,Moped,TNT Motor,2018,Black,2022-02-16,Wellington
ROMA,Moped,TNT Motor,2018,Red,2022-02-17,Bay of Plenty
ROMA,Moped,TNT Motor,2014,Black,2022-03-14,Bay of Plenty
ROMA,Moped,TNT Motor,2018,Black,2022-01-18,Counties_Manukau
ROMA,Moped,TNT Motor,2021,Black,2021-11-15,Wellington
ROMA,Moped,TNT Motor,2016,Black,2021-10-29,Auckland City
ROMA,Moped,TNT Motor,2017,Blue,2021-11-13,Canterbury
ROMA,Moped,TNT Motor,2020,Blue,2022-01-27,Southern
ROMA,Moped,TNT Motor,2020,Black,2022-03-23,Wellington
ROMA,Moped,TNT Motor,2021,Red,2022-01-02,Canterbury
ROMA,Moped,TNT Motor,2022,Red,2022-03-29,Canterbury
ROMA,Moped,TNT Motor,2018,Black,2021-11-05,Auckland City
ROMA,Moped,TNT Motor,2021,Red,2022-01-02,Auckland City
ROMA,Moped,TNT Motor,2021,Black,2022-01-30,Auckland City
ROMA,Moped,TNT Motor,2020,Black,2021-10-20,Wellington
ROMA,Moped,TNT Motor,2016,Black,2022-02-23,Auckland City
ROMA,Moped,TNT Motor,2019,Black,2021-11-28,Auckland City
ROMA,Moped,TNT Motor,2020,Blue,2022-03-01,Bay of Plenty
ROMA,Moped,TNT Motor,2017,Red,2022-03-21,Canterbury
ROMA,Moped,TNT Motor,2018,Black,2021-10-11,Eastern
ROMA,Moped,TNT Motor,2017,White,2022-03-07,Waitemata
ROMA,Moped,TNT Motor,2015,Black,2022-01-19,Counties_Manukau
ROMA,Moped,TNT Motor,2016,Red,2022-01-01,Counties_Manukau
ROMA,Moped,TNT Motor,2019,Black,2021-10-08,Wellington
ROMA,Moped,TNT Motor,2015,White,2022-02-19,Auckland City
ROMA,Moped,TNT Motor,2021,Black,2021-10-13,Wellington
ROMA,Moped,TNT Motor,2019,Black,2022-03-13,Waitemata
ROMA,Moped,TNT Motor,2021,Blue,2022-04-03,Canterbury
ROMA,Moped,TNT Motor,2021,Black,2022-02-01,Wellington
ROMA,Moped,TNT Motor,2019,Black,2021-10-16,Wellington
ROMA,Moped,TNT Motor,2015,Red,2022-01-22,Waitemata
ROMA,Moped,TNT Motor,2018,Black,2021-11-23,Auckland City
SF50,Moped,ADLY,2009,Red,2021-11-22,Bay of Plenty
TAPO,Moped,TGB,2017,White,2022-04-04,Auckland City
THOR,Moped,Over,2015,Red,2021-11-27,Wellington
UZ50,Moped,Suzuki,2016,Black,2021-12-17,Bay of Plenty
UZ50,Moped,Suzuki,2015,White,2022-03-29,Auckland City
UZ50,Moped,Suzuki,2020,White,2021-11-09,Bay of Plenty
UZ50,Moped,Suzuki,2020,Brown,2021-11-06,Auckland City
UZ50,Moped,Suzuki,2019,Blue,2021-11-21,Waikato
UZ50,Moped,Suzuki,2021,Brown,2021-12-11,Auckland City
UZ50,Moped,Suzuki,2016,Brown,2021-11-23,Waikato
UZ50,Moped,Suzuki,2009,Orange,2022-03-10,Counties_Manukau
UZ50,Moped,Suzuki,2020,White,2021-12-20,Auckland City
VINO,Moped,Yamaha,2008,Black,2022-03-13,Waikato
VIVA,Moped,Factory Built,2021,Red,2022-01-27,Canterbury
VIVA,Moped,Factory Built,2021,Blue,2021-12-24,Auckland City
VIVA,Moped,Factory Built,2021,Black,2021-10-18,Wellington
VIVA,Moped,Factory Built,2021,Black,2021-11-20,Tasman
YW50,Moped,Yamaha,2015,Red,2021-10-12,Auckland City
YW50,Moped,Yamaha,2013,Black,2022-01-19,Auckland City
ZNEN,Moped,Moped,2015,Red,2022-02-10,Waitemata
ZNEN,Moped,Moped,2017,Black,2022-01-17,Waitemata
ZNEN,Moped,Moped,2016,Black,2022-03-10,Auckland City
ARIIC,Moped,Factory Built,2018,Black,2021-10-30,Canterbury
ARIIC,Moped,Factory Built,2018,Black,2022-03-02,Canterbury
ARIIC,Moped,Factory Built,2018,White,2021-12-12,Canterbury
ARIIC,Moped,Factory Built,2020,Red,2021-11-16,Canterbury
B-UNO,Moped,Over,2020,White,2021-12-04,Central
CAPRI,Moped,Forza,2014,Cream,2022-02-08,Auckland City
CAPRI,Moped,Forza,2021,Black,2021-10-12,Auckland City
F-ACT,Moped,Keeway,2012,White,2021-10-18,Auckland City
GRIDO,Moped,TNT Motor,2014,Black,2022-01-25,Waikato
MOPED,Moped,Vmoto,2008,Black,2022-01-12,Waitemata
MOTUS,Moped,Factory Built,2015,Black,2022-01-27,Canterbury
NVS50,Moped,Honda,2005,Black,2021-12-17,Canterbury
TODAY,Moped,Honda,2015,Blue,2022-02-12,Auckland City
TODAY,Moped,Honda,2011,Yellow,2022-01-03,Counties_Manukau
TODAY,Moped,Honda,2007,Blue,2022-01-23,Auckland City
TODAY,Moped,Honda,2005,Silver,2022-01-30,Waikato
VCV50,Moped,Yamaha,2006,Silver,2022-03-19,Eastern
VERDE,Moped,Suzuki,2003,Grey,2021-12-15,Auckland City
YIBEN,Moped,Moped,2020,White,2021-11-12,Auckland City
YIBEN,Moped,Factory Built,2021,White,2022-03-19,Auckland City
YIBEN,Moped,Moped,2018,Red,2021-12-03,Auckland City
2X2ADV,Moped,Ubco,2021,White,2022-03-26,Wellington
FIDDLE,Moped,SYM,2011,Red,2021-10-28,Canterbury
GTA-50,Moped,ADLY,2018,Black,2021-12-27,Auckland City
GTA-50,Moped,ADLY,2020,Black,2022-02-14,Auckland City
LIGERO,Moped,PGO,2021,Orange,2022-02-22,Wellington
LIGERO,Moped,PGO,2021,White,2022-01-28,Wellington
LIGERO,Moped,PGO,2014,Red,2021-10-20,Canterbury
LIGERO,Moped,PGO,2015,Black,2021-12-29,Northland
LINTEX,Moped,Factory Built,2017,White,2022-03-11,Canterbury
LINTEX,Moped,Factory Built,2017,Blue,2022-03-11,Canterbury
MDAV01,Moped,Moden,2020,White,2022-03-13,Waikato
SHENKE,Moped,Factory Built,2014,Black,2021-11-16,Canterbury
SHENKE,Moped,Factory Built,2016,Black,2021-12-10,Waikato
SJ50QT,Moped,Suzuki,2006,Blue,2022-01-31,Southern
SOLANA,Moped,Moped,2010,Blue,2021-12-26,Auckland City
TAOTAO,Moped,Factory Built,2015,Red,2021-11-17,Canterbury
ZOOMER,Moped,Honda,2007,White,2021-11-16,Auckland City
ZOOMER,Moped,Honda,2006,Blue,2022-02-27,Waitemata
AGILITY,Moped,Kymco,2019,Red,2022-01-12,Bay of Plenty
CICLONE,Moped,Forza,2015,Red,2021-12-16,Auckland City
CICLONE,Moped,Forza,2015,Red,2021-10-29,Auckland City
CICLONE,Moped,Forza,2017,Black,2021-12-19,Bay of Plenty
CICLONE,Moped,Forza,2019,Black,2021-11-09,Canterbury
CICLONE,Moped,Forza,2021,Black,2022-03-23,Canterbury
CICLONE,Moped,Forza,2019,Black,2022-02-08,Auckland City
CICLONE,Moped,Moped,2008,Red,2021-10-18,Auckland City
CICLONE,Moped,Forza,2019,Black,2022-02-26,Canterbury
CICLONE,Moped,Forza,2018,Red,2021-10-23,Auckland City
CICLONE,Moped,Forza,2021,Black,2022-03-08,Auckland City
CICLONE,Moped,Forza,2019,Black,2021-10-22,Auckland City
CICLONE,Moped,Forza,2020,Black,2021-10-15,Auckland City
EURO 50,Moped,Moped,2016,Black,2022-03-04,Central
PANTERA,Moped,Moped,2016,Red,2021-10-08,Auckland City
CV50 JOG,Moped,Yamaha,2007,Blue,2021-10-26,Counties_Manukau
NAKED 50,Moped,PGO,2009,Blue,2021-11-18,Auckland City
TODAY 50,Moped,Honda,2007,Red,2021-10-19,Bay of Plenty
TODAY 50,Moped,Honda,2008,Yellow,2021-12-19,Bay of Plenty
VENUS 50,Moped,Keeway,2008,Black,2022-02-06,Canterbury
YB50QT-3,Moped,Moped,2021,Yellow,2021-12-14,Waitemata
AZ50 UDK6,Moped,Suzuki,2007,Black,2022-03-15,Auckland City
EURORIDER,Moped,Moped,2014,Black,2021-12-25,Waitemata
FC50 BEAT,Moped,Honda,1983,Black,2022-01-04,Canterbury
MOTO NZ50,Moped,Moped,2009,Black,2021-12-28,Counties_Manukau
PRIMAVERA,Moped,Vespa,2018,White,2022-02-21,Northland
PRIMAVERA,Moped,Vespa,2019,Black,2022-01-18,Auckland City
SPORTIQUE,Moped,Vespa,1963,Cream,2021-12-07,Southern
SR MOTARD,Moped,Aprilia,2017,Grey,2021-12-22,Auckland City
SR MOTARD,Moped,Aprilia,2016,White,2022-04-01,Wellington
TGB PALIO,Moped,Factory Built,2005,Silver,2021-11-09,Central
JET EURO X,Moped,Moped,2005,Silver,2022-01-24,Wellington
MOTORCYCLE,Moped,Yamaha,2011,Silver,2021-11-16,Canterbury
MOTORCYCLE,Moped,Vmoto,2010,Black,2021-12-02,Bay of Plenty
MOTORCYCLE,Moped,Piaggio,1998,Blue,2021-11-06,Auckland City
MOTORCYCLE,Moped,TNT Motor,2019,Black,2022-02-27,Wellington
ZN50QT-50C,Moped,Znen,2017,Black,2022-01-02,Bay of Plenty
ZN50QT-51A,Moped,Znen,2018,Black,2022-02-25,Northland
GIORNO CREA,Moped,Honda,2007,Silver,2021-11-15,Auckland City
VMOTO MILAN,Moped,Moped,2007,Black,2022-02-21,Waitemata
VMOTO MILAN,Moped,Moped,2010,Black,2021-12-18,Counties_Manukau
VESPA ET2 50,Moped,Piaggio,2005,Blue,2022-02-05,Waitemata
ELITE STAR 50,Moped,Moped,2011,Red,2022-03-18,Canterbury
ELITE STAR 50,Moped,Moped,2011,White,2022-01-03,Canterbury
FACTORY BUILT,Moped,Moped,2008,Gold,2021-11-25,Wellington
HYOSUNG SB49M,Moped,Moped,2008,Red,2022-01-29,Counties_Manukau
ORION SCOOTER,Moped,Moped,2009,Yellow,2022-01-10,Wellington
ROAD TRACER 50,Moped,ADLY,2020,Black,2021-11-26,Auckland City
VIVA CITYMASTER,Moped,Factory Built,2022,Red,2022-03-18,Canterbury
JM STAR SUNNY 50,Moped,Moped,2011,Red,2021-11-12,Canterbury
STREET MAGIC TR50 8,Moped,Suzuki,2000,Green,2022-02-26,Auckland City
C,Saloon,Mercedes-Benz,2011,White,2021-10-12,Auckland City
C,Saloon,Mercedes-Benz,2004,Silver,2021-10-26,Bay of Plenty
E,Saloon,Mercedes-Benz,1997,Silver,2022-03-10,Canterbury
E,Saloon,Mercedes-Benz,2004,Silver,2022-03-18,Waitemata
S,Saloon,Mercedes-Benz,2000,Red,2021-10-27,Counties_Manukau
S,Saloon,Mercedes-Benz,2001,Silver,2021-11-29,Counties_Manukau
A3,Saloon,Audi,2004,Blue,2021-10-23,Bay of Plenty
A4,Saloon,Audi,1998,Silver,2022-01-14,Counties_Manukau
A4,Saloon,Audi,2010,White,2021-12-26,Auckland City
A4,Saloon,Audi,2009,Blue,2022-04-05,Counties_Manukau
A4,Saloon,Audi,2007,Black,2021-10-21,Bay of Plenty
A4,Saloon,Audi,2010,Silver,2022-03-23,Waitemata
A4,Saloon,Audi,2007,Black,2021-11-14,Counties_Manukau
A4,Saloon,Audi,2008,Black,2022-04-05,Waitemata
A4,Saloon,Audi,2010,Black,2021-10-23,Waikato
A4,Saloon,Audi,2005,Black,2021-12-17,Counties_Manukau
A6,Saloon,Audi,2004,Silver,2021-12-25,Eastern
A8,Saloon,Audi,2007,White,2022-01-10,Bay of Plenty
GS,Saloon,Lexus,1998,Cream,2022-01-28,Waitemata
M3,Saloon,BMW,2018,Blue,2021-10-31,Auckland City
M5,Saloon,BMW,2005,Black,2021-10-26,Canterbury
S3,Saloon,Bentley,1963,White,2022-04-05,Wellington
S4,Saloon,Audi,2009,Silver,2022-02-26,Counties_Manukau
TT,Saloon,Audi,2004,Black,2022-03-19,Canterbury
XF,Saloon,Jaguar,2009,Silver,2022-01-09,Counties_Manukau
XF,Saloon,Jaguar,2012,White,2022-04-02,Auckland City
XF,Saloon,Jaguar,2009,Blue,2022-03-27,Counties_Manukau
300,Saloon,Chrysler,2007,Silver,2021-11-23,Canterbury
323,Saloon,Mazda,1994,Green,2022-03-03,Central
323,Saloon,Mazda,1997,Green,2021-11-01,Wellington
323,Saloon,Mazda,1996,Green,2021-12-19,Northland
325,Saloon,BMW,1986,Green,2022-02-28,Waikato
406,Saloon,Peugeot,2003,Silver,2022-02-28,Eastern
407,Saloon,Peugeot,2005,Black,2022-04-05,Counties_Manukau
407,Saloon,Peugeot,2009,Black,2021-12-05,Bay of Plenty
407,Saloon,Peugeot,2005,Black,2021-10-15,Waikato
626,Saloon,Mazda,1999,Silver,2022-01-24,Bay of Plenty
CLS,Saloon,Mercedes-Benz,2006,Silver,2021-11-17,Auckland City
CLS,Saloon,Mercedes-Benz,2008,Silver,2021-12-12,Bay of Plenty
CLS,Saloon,Mercedes-Benz,2005,White,2022-03-13,Counties_Manukau
I40,Saloon,Hyundai,2014,Silver,2022-03-29,Counties_Manukau
S40,Saloon,Volvo,2009,Black,2022-03-08,Northland
S80,Saloon,Volvo,2001,Green,2022-03-14,Auckland City
STS,Saloon,Cadillac,2008,Silver,2022-03-26,Counties_Manukau
WRX,Saloon,Subaru,2018,White,2022-02-27,Counties_Manukau
XJR,Saloon,Jaguar,2006,Black,2022-03-10,Counties_Manukau
300C,Saloon,Chrysler,2006,Black,2021-12-06,Southern
300C,Saloon,Chrysler,2012,White,2022-04-05,Counties_Manukau
318I,Saloon,BMW,2003,Silver,2022-04-05,Counties_Manukau
318I,Saloon,BMW,2002,Green,2021-11-08,Bay of Plenty
318I,Saloon,BMW,1998,Blue,2021-10-22,Southern
318I,Saloon,BMW,2001,Silver,2021-11-21,Central
318I,Saloon,BMW,2000,Silver,2022-03-25,Eastern
318I,Saloon,BMW,2001,Blue,2021-10-25,Canterbury
318I,Saloon,BMW,2000,Silver,2022-01-03,Counties_Manukau
318I,Saloon,BMW,2001,Silver,2022-02-27,Counties_Manukau
318I,Saloon,BMW,1999,Black,2021-12-14,Waitemata
320D,Saloon,BMW,2009,White,2021-11-25,Wellington
320I,Saloon,BMW,2001,Red,2022-02-26,Central
320I,Saloon,BMW,2006,White,2021-10-08,Bay of Plenty
320I,Saloon,BMW,2008,Blue,2021-11-03,Waitemata
320I,Saloon,BMW,2008,Grey,2022-01-01,Counties_Manukau
320I,Saloon,BMW,2008,Black,2021-10-21,Counties_Manukau
320I,Saloon,BMW,2005,Silver,2022-03-13,Counties_Manukau
320I,Saloon,BMW,2008,Silver,2022-02-24,Counties_Manukau
320I,Saloon,BMW,2001,Silver,2021-10-30,Canterbury
320I,Saloon,BMW,2006,Black,2022-01-15,Counties_Manukau
320I,Saloon,BMW,2007,Blue,2022-02-06,Auckland City
320I,Saloon,BMW,2005,White,2021-12-30,Canterbury
320I,Saloon,BMW,2009,Silver,2022-03-31,Canterbury
320I,Saloon,BMW,2008,Blue,2021-11-04,Northland
320I,Saloon,BMW,2010,Silver,2022-01-25,Wellington
320I,Saloon,BMW,2009,Blue,2022-04-05,Auckland City
320I,Saloon,BMW,2005,Black,2022-02-10,Auckland City
320I,Saloon,BMW,2011,Blue,2022-02-28,Counties_Manukau
320I,Saloon,BMW,2010,Grey,2022-04-04,Auckland City
320I,Saloon,BMW,2008,Blue,2022-01-26,Counties_Manukau
320I,Saloon,BMW,1995,Blue,2022-01-21,Tasman
320I,Saloon,BMW,2007,Grey,2021-11-28,Wellington
320I,Saloon,BMW,2007,Black,2021-10-11,Counties_Manukau
323I,Saloon,BMW,2006,White,2021-11-23,Auckland City
323I,Saloon,BMW,2007,White,2022-03-23,Counties_Manukau
323I,Saloon,BMW,2005,Blue,2022-04-03,Waitemata
323I,Saloon,BMW,2006,Blue,2022-03-01,Bay of Plenty
323I,Saloon,BMW,2008,Black,2022-01-27,Counties_Manukau
323I,Saloon,BMW,2000,Blue,2022-02-15,Canterbury
323I,Saloon,BMW,2000,Red,2021-10-07,Wellington
323I,Saloon,BMW,2006,Blue,2022-03-06,Waitemata
323I,Saloon,BMW,2005,White,2022-02-22,Counties_Manukau
323I,Saloon,BMW,2006,Silver,2022-02-26,Waitemata
323I,Saloon,BMW,2009,Silver,2022-02-12,Counties_Manukau
325I,Saloon,BMW,2009,Grey,2021-12-02,Waitemata
328I,Saloon,BMW,2012,Brown,2022-03-20,Waitemata
330I,Saloon,BMW,2002,Black,2022-01-28,Auckland City
335I,Saloon,BMW,2006,White,2022-01-05,Waitemata
335I,Saloon,BMW,2007,White,2022-02-21,Waitemata
520I,Saloon,BMW,2004,White,2022-01-16,Counties_Manukau
520I,Saloon,BMW,2001,Blue,2022-02-25,Auckland City
525I,Saloon,BMW,2007,White,2022-04-05,Counties_Manukau
525I,Saloon,BMW,2005,Silver,2022-02-10,Counties_Manukau
525I,Saloon,BMW,2006,Grey,2021-11-21,Waikato
525I,Saloon,BMW,2007,Blue,2022-03-15,Counties_Manukau
528I,Saloon,BMW,2010,Silver,2022-03-30,Counties_Manukau
530I,Saloon,BMW,2005,Green,2022-03-27,Wellington
530I,Saloon,BMW,2005,Blue,2021-12-22,Wellington
530I,Saloon,BMW,2005,Grey,2021-11-19,Counties_Manukau
530I,Saloon,BMW,2005,Black,2021-12-31,Auckland City
530I,Saloon,BMW,2005,White,2022-03-21,Central
535I,Saloon,BMW,2011,Blue,2021-12-20,Auckland City
540I,Saloon,BMW,2006,Black,2022-04-01,Auckland City
540I,Saloon,BMW,2006,Silver,2022-03-09,Northland
550I,Saloon,BMW,2008,Silver,2022-03-24,Bay of Plenty
650I,Saloon,BMW,2007,Black,2022-01-29,Central
730I,Saloon,BMW,2014,White,2022-03-24,Auckland City
760I,Saloon,BMW,2003,White,2021-12-27,Bay of Plenty
C200,Saloon,Mercedes-Benz,2007,Silver,2021-11-17,Waitemata
C200,Saloon,Mercedes-Benz,2000,Silver,2021-12-22,Counties_Manukau
E240,Saloon,Mercedes-Benz,2002,Blue,2021-10-14,Auckland City
E280,Saloon,Mercedes-Benz,1999,Silver,2022-02-21,Waikato
E350,Saloon,Mercedes-Benz,2009,Silver,2022-03-28,Auckland City
E500,Saloon,Mercedes-Benz,2004,Black,2021-11-18,Counties_Manukau
E500,Saloon,Mercedes-Benz,2006,White,2021-10-21,Waitemata
FUGA,Saloon,Nissan,2007,Brown,2022-03-28,Waikato
FUGA,Saloon,Nissan,2007,Black,2022-03-15,Counties_Manukau
FUGA,Saloon,Nissan,2005,Black,2022-01-19,Waitemata
FUGA,Saloon,Nissan,2009,Brown,2022-01-03,Wellington
LOGO,Saloon,Honda,1999,White,2022-04-04,Wellington
RX-8,Saloon,Mazda,2005,Silver,2022-04-02,Canterbury
RX-8,Saloon,Mazda,2003,Blue,2021-10-25,Counties_Manukau
RX-8,Saloon,Mazda,2003,Green,2022-02-12,Canterbury
RX-8,Saloon,Mazda,2006,Red,2021-12-31,Central
318CI,Saloon,BMW,2002,Silver,2021-11-29,Counties_Manukau
318TI,Saloon,BMW,2003,Silver,2021-12-22,Eastern
318TI,Saloon,BMW,1996,Blue,2021-11-04,Counties_Manukau
325CI,Saloon,BMW,2007,White,2022-03-06,Waitemata
330CI,Saloon,BMW,2002,Black,2022-03-02,Canterbury
AXELA,Saloon,Mazda,2005,Blue,2022-03-04,Canterbury
AXELA,Saloon,Mazda,2005,Grey,2021-12-26,Waitemata
AXELA,Saloon,Mazda,2013,Blue,2022-03-25,Auckland City
AXELA,Saloon,Mazda,2006,Blue,2022-04-04,Wellington
AXELA,Saloon,Mazda,2007,White,2022-02-16,Canterbury
AXELA,Saloon,Mazda,2005,Grey,2022-01-21,Waikato
AXELA,Saloon,Mazda,2005,White,2022-03-25,Eastern
AXELA,Saloon,Mazda,2004,Silver,2022-02-23,Bay of Plenty
AXELA,Saloon,Mazda,2004,Red,2022-02-22,Canterbury
AXELA,Saloon,Mazda,2007,White,2022-03-27,Bay of Plenty
AXELA,Saloon,Mazda,2005,White,2021-11-01,Waitemata
CAMRY,Saloon,Toyota,2019,Silver,2021-12-26,Counties_Manukau
CAMRY,Saloon,Toyota,1998,Green,2022-02-16,Canterbury
CAMRY,Saloon,Toyota,2002,Red,2022-04-02,Central
CAMRY,Saloon,Toyota,2008,Silver,2021-12-25,Counties_Manukau
CAMRY,Saloon,Toyota,2010,Black,2022-02-26,Waikato
CAMRY,Saloon,Toyota,1998,Green,2022-04-02,Waikato
CAMRY,Saloon,Toyota,2010,Green,2021-12-04,Waikato
CAMRY,Saloon,Toyota,2004,Gold,2021-12-09,Auckland City
CAMRY,Saloon,Toyota,2005,Silver,2022-01-12,Waikato
CAMRY,Saloon,Toyota,2004,Black,2022-02-09,Bay of Plenty
CAMRY,Saloon,Toyota,2006,Blue,2022-02-07,Counties_Manukau
CAMRY,Saloon,Toyota,2008,Silver,2022-02-26,Wellington
CAMRY,Saloon,Toyota,2000,Green,2022-03-11,Canterbury
CAMRY,Saloon,Toyota,2008,Blue,2022-03-23,Counties_Manukau
CAMRY,Saloon,Toyota,2012,White,2022-01-21,Counties_Manukau
CERES,Saloon,Toyota,1998,Silver,2022-04-03,Auckland City
CERES,Saloon,Toyota,1994,Silver,2021-11-26,Canterbury
CIVIC,Saloon,Honda,2001,White,2021-12-17,Waikato
CIVIC,Saloon,Honda,1997,Blue,2022-03-11,Wellington
CIVIC,Saloon,Honda,2006,Red,2022-02-17,Wellington
CIVIC,Saloon,Honda,1997,Blue,2022-03-09,Eastern
CIVIC,Saloon,Honda,2007,Gold,2022-02-19,Waitemata
CIVIC,Saloon,Honda,1985,Red,2022-02-27,Canterbury
CIVIC,Saloon,Honda,2013,Black,2021-12-25,Wellington
CIVIC,Saloon,Honda,1997,Silver,2022-02-11,Central
CIVIC,Saloon,Honda,2005,White,2022-03-09,Wellington
CIVIC,Saloon,Honda,2005,Silver,2021-10-12,Wellington
CIVIC,Saloon,Honda,1996,White,2021-10-25,Southern
CIVIC,Saloon,Honda,1998,Green,2021-12-13,Wellington
CIVIC,Saloon,Honda,1999,Blue,2022-01-20,Bay of Plenty
CIVIC,Saloon,Honda,1998,Silver,2021-12-19,Bay of Plenty
CIVIC,Saloon,Honda,2003,Green,2022-03-30,Waitemata
CIVIC,Saloon,Honda,1998,Gold,2021-11-23,Southern
CIVIC,Saloon,Honda,2000,Red,2022-02-09,Counties_Manukau
CIVIC,Saloon,Honda,1997,Gold,2022-01-08,Southern
CIVIC,Saloon,Honda,1998,Purple,2022-03-10,Eastern
CIVIC,Saloon,Honda,2005,Grey,2021-10-09,Northland
CIVIC,Saloon,Honda,2001,Gold,2022-03-28,Wellington
CROWN,Saloon,Toyota,2006,White,2022-02-24,Canterbury
CROWN,Saloon,Toyota,2005,White,2021-11-01,Bay of Plenty
CROWN,Saloon,Toyota,2007,White,2022-01-22,Tasman
CRUZE,Saloon,Holden,2010,Silver,2022-03-08,Waikato
CRUZE,Saloon,Holden,2012,Grey,2022-02-27,Counties_Manukau
CRUZE,Saloon,Holden,2010,Blue,2022-01-15,Counties_Manukau
CRUZE,Saloon,Holden,2009,Red,2021-12-24,Bay of Plenty
CRUZE,Saloon,Holden,2009,Blue,2022-04-01,Northland
CRUZE,Saloon,Holden,2012,Silver,2022-03-07,Auckland City
CYNOS,Saloon,Toyota,1991,Green,2022-02-17,Counties_Manukau
CYNOS,Saloon,Toyota,1996,Blue,2022-01-01,Auckland City
EPICA,Saloon,Holden,2008,Silver,2022-03-22,Waitemata
EPICA,Saloon,Holden,2008,Gold,2022-01-26,Northland
GS300,Saloon,Lexus,1997,Red,2022-04-02,Central
GS430,Saloon,Lexus,2006,Silver,2022-02-05,Bay of Plenty
IS250,Saloon,Lexus,2008,Silver,2021-10-26,Auckland City
IS350,Saloon,Lexus,2007,White,2022-03-23,Waitemata
LASER,Saloon,Ford,1996,Blue,2021-11-24,Bay of Plenty
LASER,Saloon,Ford,2000,Red,2022-03-05,Bay of Plenty
LATIO,Saloon,Nissan,2012,Silver,2022-02-28,Auckland City
LEVIN,Saloon,Toyota,1998,Black,2021-12-29,Canterbury
MAGNA,Saloon,Mitsubishi,1999,Black,2022-01-27,Auckland City
MARKX,Saloon,Toyota,2010,White,2022-02-21,Canterbury
MARKX,Saloon,Toyota,2005,Silver,2022-04-01,Auckland City
MARKX,Saloon,Toyota,2005,Blue,2021-10-11,Auckland City
MARKX,Saloon,Toyota,2006,Black,2022-03-04,Central
MARKX,Saloon,Toyota,2005,Silver,2022-03-30,Waitemata
MARKX,Saloon,Toyota,2008,Silver,2022-03-21,Northland
MARKX,Saloon,Toyota,2004,Silver,2022-03-22,Canterbury
MARKX,Saloon,Toyota,2006,White,2021-11-28,Northland
MARKX,Saloon,Toyota,2007,Silver,2022-04-03,Auckland City
MARKX,Saloon,Toyota,2006,Silver,2022-03-16,Canterbury
MARKX,Saloon,Toyota,2005,Blue,2022-03-15,Waikato
MARKX,Saloon,Toyota,2007,Silver,2021-10-24,Northland
MARKX,Saloon,Toyota,2008,Silver,2022-03-08,Auckland City
MARKX,Saloon,Toyota,2005,Silver,2022-03-25,Bay of Plenty
